,ùëΩùë¨ùëµ,ùëπùë®ùë¥,ùë®ùëµ,ùëπùë®,ùëπùë™,ùë≠ùë∞ùë¨,ùë¨ùë®,ùë¨ùë∑,ùë´ùë¨,ùúπùëΩùë¨ùëµ,ùúπùëπùë®ùë¥,ùúπùë®ùëµ,ùúπùëπùë®,ùúπùëπùë™,ùúπùë≠ùë∞ùë¨,ùúπùë¨ùë®,ùúπùë¨ùë∑,ùúπùë´ùë¨,OP
4693,9.133,58.33865,27.133,1.9977,1.18712,753.7224,69.93515,1.88061,7.13,0.453311,1.275682,0.453311,0.000537,0.000588,119.6755,1060.171,0.000694,0.453311,418
4712,9.173,58.46217,27.173,1.9 961,1.1 8472,753.6398,71.90731,1.8 8261,7.17,0.401071,1.025823,0.401071,0.000463,0.000472,118.3954,935.1347,0.000587,0.401071,418
4731,9.236,58.78128,27.308,2.00302,1.18782,756.6257,73.49401,1.89148,7.22,0.365519,0.895581,0.376043,0.000474,0.00041,126.832,846.7736,0.000568,0.364992,419
4750,9.267,58. 877,27.339,2.00178,1.18596,756.5617,75.02244,1.89303,7.25,0.32122,0.66491,0.331763,0.000411,0.000307,125.8253,740.5781,0.000476,0.320691,418
4769,9.307,59.00052,27.379,2.00018,1.18356,756.4791,76.9946,1.89503,7.29,0.261232,0.340297,0.271798,0.000324,0.000163,124.5143,596.6755,0.00035,0.260701,424
4788,9.338,59.096,27.41,1.998,1.181,756.41,78.523,1.896,7.3,0.2125,0.0678,0.2231,0.0002,4.34E-,123.48,479.82,0.0002,0.2120,433
4807,8.542,56.61681,26.542,2.02103,1.22103,755.5997,40.84733,1.85168,6.54,0.790236,1.602422,0.790236,0.000968,0.000968,126.8257,1857.606,0.001264,0.790236,424
4826,8.605,56.93592,26.677,2.02795,1.22413,758.5856,42.43403,1.86055,6.59,0.789159,1.795758,0.79932,0.001036,0.001031,135.4369,1853.408,0.00133,0.788673,421
4845,8.717,57. 56204,26.951,2.04471,1.23289,765.3652,44. 53731,1.87902,6.69,0.7 9673,2.4 58336,0.9 05232,0.0 01669,0.0 01304,223.4524,1845.677,0.0 01873,0.7 91522,415
4864,8.676,57.15516,26.748,2.02511,1.21987,758.439,45.93461,1.8641,6.66,0.774116,2.04642,0.784318,0.001027,0.001092,133.6913,1819.896,0.00133,0.773625,412
4883,8.671,57.01516,26.671,2.01587,1.21329,755.3334,47.20754,1.85813,6.67,0.762759,2.058946,0.762759,0.000952,0.001079,123.6479,1796.466,0.001266,0.762759,409
4902,8.783,57.64129,26.945,2.03263,1.22205,762.1131,49.31083,1.8766,6.76,0.758181,2.417694,0.810272,0.001274,0.001216,169.7246,1771.956,0.00154,0.755662,411
4921,8.742,57.23441,26.742,2.01303,1.20903,755.1869,50.70813,1.86168,6.74,0.733436,2.174803,0.733436,0.000921,0.001089,121.8385,1728.297,0.001231,0.733436,412
4940,8.773,57.33014,26.773,2.01179,1.20717,755.1229,52.23655,1.86323,6.77,0.717471,2.195237,0.717471,0.000902,0.001082,121.0349,1690.847,0.001208,0.717471,409
4959,8.917,58.17964,27.151,2.03671,1.22089,764.9524,54.39811,1.88902,6.89,0.715779,2.792433,0.825497,0.001576,0.001327,218.3153,1656.278,0.001782,0.710435,413
4978,8.876,57.77276,26.948,2.01711,1.20787,758.0262,55.79541,1.8741,6.86,0.677758,2.237743,0.688075,0.000916,0.001068,128.5443,1594.27,0.001198,0.677254,417
4997,8.871,57.63276,26.871,2.00787,1.20129,754.9206,57.06834,1.86813,6.87,0.654359,2.139283,0.654359,0.000822,0.001014,118.4409,1541.724,0.001103,0.654359,418
5016,8.983,58.25889,27.145,2.02463,1.21005,761.7003,59.17163,1.8866,6.96,0.63696,2.368861,0.689634,0.00112,0.001099,164.4536,1485.36,0.001347,0.634376,420
5035,8.942,57.85201,26.942,2.00503,1.19703,754.7741,60.56893,1.87168,6.94,0.596636,1.984326,0.596636,0.000745,0.000921,116.5104,1404.517,0.000997,0.596636,421
5054,9.005,58.17112,27.077,2.01195,1.20013,757.76,62.15563,1.88055,6.997,0.573335,1.958058,0.583727,0.000776,0.000901,125.0443,1345.985,0.001007,0.572823,421
5073,9.117,58.79724,27.351,2.02871,1.20889,764.5396,64.25891,1.89902,7.09,0.555867,2.373588,0.666803,0.001357,0.001065,212.8418,1274.937,0.001494,0.550389,422
5092,9.04,58.154,27.04,2.001,1.191,754.57,65.400,1.876,7.0,0.5 004,1.6125,0.5 004,0.0006,0.0007,113.77,1174.8,0.0008,0.5 004,416
5111,9.071,58.25036,27.071,1.99987,1.18929,754.5078,66.92914,1.87813,7.07,0.465959,1.456761,0.465959,0.000564,0.000661,112.893,1092.51,0.00074,0.465959,417
5130,9.183,58.87649,27.345,2.01663,1.19805,761.2875,69.03243,1.8966,7.16,0.436458,1.564034,0.489716,0.000839,0.000696,158.8448,1006.044,0.000955,0.43381,419
5149,9.142,58.46961,27.142,1.99703,1.18503,754.3613,70.42973,1.88168,7.14,0.379836,1.030988,0.379836,0.000441,0.000466,110.8416,886.2666,0.000564,0.379836,416
5168,9.205,58.78872,27.277,2.00395,1.18813,757.3472,72.01643,1.89055,7.19,0.345903,0.899496,0.35641,0.000455,0.000405,119.3389,801.7344,0.000547,0.345378,420
5187,9.317,59.41484,27.551,2.02071,1.19689,764.1268,74.11971,1.90902,7.29,0.316995,1.2 018,0.429148,0.001011,0.000519,207.0319,701.6526,0.001009,0.311382,426
5206,9.276,59.00796,27.348,2.00111,1.18387,757.2006,75.51701,1.8941,7.26,0.246001,0.340963,0.256548,0.00031,0.00016,117.2318,561.9399,0.000335,0.245471,422
5225,9.271,58.86796,27.271,1.99187,1.17729,754.095,76.78994,1.88813,7.27,0.197559,0.011379,0.197559,0.000178,1.98E-05,107.0044,448.8258,0.000178,0.197559,431
5244,8.462,56.50289,26.462,2.02383,1.22383,756.6132,36.96861,1.84848,6.46,0.710556,1.440848,0.710556,0.00087,0.00087,114.0378,1670.303,0.001137,0.710556,425
5263,8.421,56.09601,26.259,2.00423,1.21081,749.687,38.36591,1.83356,6.43,0.71554,1.853381,0.766103,0.001204,0.001035,159.0367,1669.772,0.001426,0.713133,420
5282,8.565,56.94552,26.637,2.02915,1.22453,759.5165,40.52747,1.85935,6.55,0.713212,1.836078,0.72335,0.000951,0.000996,121.9398,1676.517,0.001228,0.712728,415
5301,8.596,57.04124,26.668,2.02791,1.22267,759.4525,42.05589,1.8609,6.58,0.710349,1.955469,0.720505,0.000952,0.001028,121.3016,1670.692,0.001235,0.709863,415
5320,8.635,57.11888,26.563,2.00685,1.20347,754.4551,47.11933,1.85265,6.64,0.559522,2.309644,0.569659,0.000792,0.001035,94.32678,1321.277,0.001057,0.559033,435
5339,8.64,57.258,26.64,2.016,1.210,757.56,45.846,1.858,6.6,0.5 684,2.2514,0.5 684,0.0007,0.0010,85.716,1344.9,0.0010,0.5 684,442
5358,8.681,57.66577,26.843,2.03569,1.22307,764.4869,44.4491,1.87354,6.66,0.585477,2.499866,0.637271,0.001085,0.001142,133.3346,1370.893,0.001315,0.582991,436
5377,8.569,57.03964,26.569,2.01893,1.21431,757.7073,42.34582,1.85507,6.56,0.583239,2.146369,0.583239,0.000754,0.001,86.83035,1379.055,0.001031,0.583239,436
5396,8.538,56.94391,26.538,2.02017,1.21617,757.7712,40.81739,1.85352,6.53,0.586556,2.070318,0.586556,0.000755,0.00098,87.30316,1386.271,0.001028,0.586556,433
5415,8.579,57.35079,26.741,2.03977,1.22919,764.6974,39.42009,1.86844,6.56,0.596152,2.248958,0.647649,0.00109,0.001079,134.9023,1394.39,0.001306,0.593699,429
5434,8.467,56.72466,26.467,2.02301,1.22043,757.9178,37.31681,1.84997,6.46,0.586911,1.827079,0.586911,0.000746,0.00091,88.35519,1385.193,0.001005,0.586911,432
5453,8.44,56.641,26.44,2.024,1.222,757.97,35.985,1.848,6.4,0.5 844,1.7093,0.5 844,0.0007,0.0008,88.743,1378.3,0.0009,0.5 844,429
5472,8.481,57.04817,26.643,2.04369,1.23507,764.8997,34.5883,1.86354,6.46,0.586985,1.82267,0.638196,0.001064,0.00095,136.3257,1369.749,0.001249,0.584564,428
5491,8.369,56.42204,26.369,2.02693,1.22631,758.1201,32.48502,1.84507,6.36,0.570839,1.333409,0.570839,0.000707,0.000752,89.73674,1343.446,0.000932,0.570839,431
5510,8.338,56.32631,26.338,2.02817,1.22817,758.184,30.95659,1.84352,6.33,0.561756,1.139115,0.561756,0.000688,0.000688,90.15672,1320.519,0.000899,0.561756,432
5529,9.2,58. 885,27.2,1.994,1.178,755.74,73.405,1.886,7.2,0.16,0.0092,0.16,0.0001,0.0000,86.661,363.49,0.0001,0.16,438
5548,9.169,58.78927,27.169,1.99524,1.17986,755.8114,71.87738,1.88445,7.16,0.202439,0.28647,0.202439,0.000207,0.000132,87.38481,465.6588,0.000238,0.202439,434
5567,9.129,58.66575,27.129,1.99684,1.18226,755.8939,69.90522,1.88245,7.12,0.254359,0.617136,0.254359,0.000284,0.00027,88.3064,590.5765,0.000351,0.254359,438
5586,9.134,58.80576,27.206,2.00608,1.18884,758.9995,68.63228,1.88842,7.12,0.293764,0.908049,0.30423,0.000404,0.000393,98.27051,682.1933,0.000491,0.293244,424
5605,9.071,58.48665,27.071,1.99916,1.18574,756.0137,67.04558,1.87955,7.07,0.323959,1.042401,0.323959,0.000386,0.000451,89.6185,757.8902,0.000502,0.323959,427
5624,9.031,58.36313,27.031,2.00076,1.18814,756.0962,65.07342,1.87755,7.03,0.368039,1.298307,0.368039,0.00045,0.000562,90.50669,863.7498,0.000596,0.368039,427
5643,9,58.267,27,2.002,1.19,756.16,63. 545,1.876,7,0.4,1.4756,0.4,0.0004,0.0006,91.185,940.44,0.0006,0.4,426
5662,8.969,58.17167,26.969,2.00324,1.19186,756.2242,62.01658,1.87445,6.96,0.430039,1.634657,0.430039,0.000539,0.000711,91.85644,1012.459,0.000727,0.430039,429
5681,8.929,58.04815,26.929,2.00484,1.19426,756.3067,60.04442,1.87245,6.92,0.465959,1.812751,0.465959,0.00059,0.000792,92.70987,1098.483,0.0 008,0.465959,427
5700,8.898,57.95242,26.898,2.00608,1.19612,756.3707,58.51599,1.8709,6.89,0.491596,1.929785,0.491596,0.000626,0.000847,93.3619,1159.801,0.000852,0.491596,438
5719,8.871,57.86905,26.871,2.00716,1.19774,756.4265,57.18478,1.86955,6.87,0.512359,2.016786,0.512359,0.000655,0.00089,93.92313,1209.4,0.000893,0.512359,435
5738,8.831,57.74553,26.831,2.00876,1.20014,756.509,55.21262,1.86755,6.83,0.540439,2.12012,0.540439,0.000694,0.000943,94.74316,1276.366,0.000947,0.540439,429
5757,8.8,57.649,26.8,2.01,1.202,756.57,53.684,1.866,6.8,0.56,2.1792,0.56,0.0007,0.0009,95.369,1322.9,0.0009,0.56,429
5776,8.769,57.55407,26.769,2.01124,1.20386,756.637,52.15578,1.86445,6.76,0.577639,2.219983,0.577639,0.000743,0.001002,95.98726,1364.789,0.001016,0.577639,431
5795,8.729,57.43055,26.729,2.01284,1.20626,756.7195,50.18362,1.86245,6.72,0.597559,2.245505,0.597559,0.000769,0.001026,96.77253,1411.919,0.001049,0.597559,437
5814,8.702,57.34718,26.702,2.01392,1.20788,756.7753,48.85241,1.8611,6.70,0.609196,2.245483,0.609196,0.000783,0.001036,97.29488,1439.334,0.001068,0.609196,435
5833,8.671,57.25145,26.671,2.01516,1.20974,756.8393,47.32398,1.85955,6.67,0.620759,2.228311,0.620759,0.000797,0.00104,97.88695,1466.439,0.001084,0.620759,442
5852,8.631,57.12793,26.631,2.01676,1.21214,756.9218,45.35182,1.85755,6.63,0.632839,2.179073,0.632839,0.00081,0.001035,98.63882,1494.511,0.001098,0.632839,432
5871,8.6,57.032,26.6,2.018,1.214,756.98,43.823,1.856,6.6,0.64,2.1199,0.64,0.0008,0.0010,99.212,1510.9,0.0011,0.64,424
5890,8.569,56.93647,26.569,2.01924,1.21586,757.0498,42.29498,1.85445,6.56,0.645239,2.04245,0.645239,0.000819,0.001006,99.77727,1522.648,0.001105,0.645239,424
5909,8.529,56.81295,26.529,2.02084,1.21826,757.1323,40.32282,1.85245,6.52,0.649159,1.915401,0.649159,0.000819,0.000972,100.4944,1530.884,0.001098,0.649159,422
5928,8.534,56.95296,26.606,2.03008,1.22484,760.2379,39.04988,1.85842,6.52,0.652161,1.867201,0.662281,0.000883,0.000968,110.2922,1534.446,0.001147,0.651679,422
5947,8.471,56.63385,26.471,2.02316,1.22174,757.2521,37.46318,1.84955,6.47,0.649159,1.676977,0.649159,0.00081,0.000902,101.51,1529.008,0.001075,0.649159,424
5966,8.431,56.51033,26.431,2.02476,1.22414,757.3346,35.49102,1.84755,6.43,0.645239,1.475168,0.645239,0.000797,0.00084,102.1937,1518.185,0.001049,0.645239,427
5985,8.4,56.414,26.4,2.026,1.226,757.39,33.962,1.846,6.4,0.64,1.2977,0.64,0.0007,0.0007,102.71,1504.4,0.0010,0.64,435
6004,9.231,58.87756,27.231,1.99307,1.17769,755.0259,74.88338,1.88693,7.23,0.177639,0.010232,0.177639,0.00016,1.78E-05,96.21506,403.5704,0.00016,0.177639,432
6023,9.119,58.25144,26.957,1.97631,1.16893,748.2463,72.7801,1.86846,7.13,0.228434,0.563202,0.281032,0.000544,0.000246,142.5363,509.8652,0.000542,0.2 258,432
6042,9.196,58.89404,27.268,2.00391,1.18667,758.2141,71.63829,1.8909,7.18,0.27785,0.670466,0.288351,0.000369,0.000297,107.3422,641.3011,0.000431,0.277325,428
6061,9.165,58.79832,27.237,2.00515,1.18853,758.2781,70.10987,1.88935,7.15,0.317764,0.904386,0.328248,0.000427,0.000398,108.1383,737.1932,0.000516,0.317242,429
6080,9.021,57.94881,26.859,1.98023,1.17481,748.4486,67.94831,1.86356,7.03,0.356153,1.310093,0.408466,0.000732,0.000571,145.1057,816.94,0.000814,0.353551,427
6099,9.062,58.35569,27.062,1.99983,1.18783,755.3748,66.55101,1.87848,7.06,0.396156,1.291557,0.396156,0.000478,0.00057,100.5639,928.4467,0.000628,0.396156,429
6118,9.031,58.25996,27.031,2.00107,1.18969,755.4387,65.02258,1.87693,7.03,0.430039,1.467472,0.430039,0.000527,0.000649,101.3352,1009.654,0.000698,0.430039,425
6137,8.919,57.63384,26.757,1.98431,1.18093,748.6591,62.9193,1.85846,6.93,0.468502,1.891189,0.520518,0.000894,0.000834,147.6923,1086.512,0.001046,0.465933,423
6156,8.96,58.040,26.96,2.003,1.193,755.58,61. 522,1.873,6.9,0.5 004,1.8013,0.5 004,0.0006,0.0008,103.07,1178.0,0.0008,0.5 004,428
6175,8.965,58.18072,27.037,2.01315,1.20053,758.6909,60.24907,1.87935,6.95,0.52926,1.974758,0.539628,0.000729,0.000884,113.0783,1243.994,0.000953,0.52875,427
6194,8.821,57.33121,26.659,1.98823,1.18681,748.8614,58.08751,1.85356,6.83,0.556669,2.260914,0.608398,0.001018,0.001016,150.0932,1297.438,0.00122,0.554132,432
6213,8.862,57.73809,26.862,2.00783,1.19983,755.7876,56.69021,1.86848,6.86,0.580956,2.10418,0.580956,0.000737,0.000958,105.396,1370.203,0.000998,0.580956,426
6232,8.831,57.64236,26.831,2.00907,1.20169,755.8515,55.16178,1.86693,6.83,0.602439,2.161852,0.602439,0.000766,0.000993,106.1144,1421.267,0.001037,0.602439,435
6251,8.719,57.01624,26.557,1.99231,1.19293,749.0719,53.0585,1.84846,6.73,0.62785,2.44945,0.679283,0.001115,0.001131,152.5045,1466.938,0.001349,0.625346,429
6270,8.796,57.65884,26.868,2.01991,1.21067,759.0397,51.91669,1.8709,6.78,0.645862,2.286943,0.656134,0.000885,0.001071,116.9879,1521.255,0.001166,0.645364,427
6289,8.733,57.33974,26.733,2.0 1299,1.2 0757,756.0538,50.32999,1.8 6203,6.73,0.657711,2.223616,0.657711,0.000836,0.001056,108.3319,1551.966,0.00113,0.657711,422
6308,8.621,56.71361,26.459,1.99623,1.19881,749.2742,48.22671,1.84356,6.63,0.676464,2.44201,0.727611,0.001176,0.001171,154.7369,1581.716,0.001424,0.673992,416
6327,8.662,57.12049,26.662,2.01583,1.21183,756.2004,46.82941,1.85848,6.66,0.685756,2.153944,0.685756,0.000868,0.001058,109.8873,1617.488,0.001167,0.685756,414
6346,8.631,57.02476,26.631,2.01707,1.21369,756.2643,45.30098,1.85693,6.63,0.694839,2.093372,0.694839,0.000877,0.001048,110.5529,1638.41,0.001176,0.694839,412
6365,8.519,56.39864,26.357,2.00031,1.20493,749.4847,43.1977,1.83846,6.53,0.706479,2.237986,0.757328,0.001206,0.001138,156.9728,1651.143,0.00145,0.70404,420
6384,8.779,57.96839,26.941,2.03177,1.21719,764.2846,49.28089,1.87844,6.76,0.555797,2.555716,0.607876,0.001049,0.001132,131.7457,1301.1,0.001274,0.553279,440
6403,8.738,57.56151,26.738,2.01217,1.20417,757.3584,50.67819,1.86352,6.73,0.531356,2.238661,0.531356,0.000694,0.000984,84.10878,1257.552,0.000958,0.531356,428
6422,8.769,57.65724,26.769,2.01093,1.20231,757.2945,52.20662,1.86507,6.76,0.515639,2.196468,0.515639,0.000673,0.000959,83.58315,1220.193,0.000929,0.515639,426
6441,8.881,58.28337,27.043,2.02769,1.21107,764.0741,54.3099,1.88354,6.86,0.504688,2.421068,0.557066,0.00098,0.001049,130.0058,1179.315,0.001182,0.502138,426
6460,8.804,57.64076,26.732,2.00009,1.19333,754.1063,55.45171,1.8611,6.81,0.473542,2.079667,0.483777,0.000677,0.000897,91.44126,1116.806,0.0 009,0.473043,424
6479,8.867,57.95986,26.867,2.00701,1.19643,757.0922,57.03841,1.86997,6.86,0.453311,1.942535,0.453311,0.000586,0.000834,81.86761,1071.359,0.000806,0.453311,415
6498,8.979,58.58599,27.141,2.02377,1.20519,763.8718,59.14169,1.88844,6.96,0.436161,2.106481,0.488824,0.000881,0.000899,128.2514,1015.09,0.001045,0.433579,419
6517,8.938,58.17911,26.938,2.00417,1.19217,756.9456,60.53899,1.87352,6.93,0.396156,1.644144,0.396156,0.000504,0.0 007,80.5736,934.3625,0.000688,0.396156,430
6536,8.969,58.27484,26.969,2.00293,1.19031,756.8817,62.06742,1.87507,6.96,0.368039,1.483709,0.368039,0.000464,0.000631,79.99514,866.8606,0.000628,0.368039,427
6555,9.081,58.90097,27.243,2.01969,1.19907,763.6613,64.1707,1.89354,7.06,0.34462,1.586276,0.39758,0.000747,0.00067,126.3392,795.0177,0.000851,0.342005,432
6574,9.04,58.494,27.04,2.000,1.186,756.73,65. 568,1.878,7.0,0.2 964,1.0472,0.2 964,0.0003,0.0004,78.639,694.65,0.0004,0.2 964,431
6593,9.067,58.57746,27.067,1.99901,1.18443,756.6794,66.89921,1.87997,7.06,0.266511,0.855974,0.266511,0.000314,0.000364,78.11261,622.7361,0.000407,0.266511,433
6612,9.179,59.20359,27.341,2.01577,1.19319,763.459,69.00249,1.89844,7.16,0.237245,0.901252,0.290492,0.000587,0.00038,124.4193,536.3592,0.000617,0.234598,435
6631,9.138,58.79671,27.138,1.99617,1.18017,756.5328,70.39979,1.88352,7.138,0.180956,0.286768,0.180956,0.000187,0.000128,76.69762,416.7022,0.000217,0.180956,438
6650,9.169,58.89244,27.169,1.99493,1.17831,756.4689,71.92822,1.88507,7.16,0.140439,0.008089,0.140439,0.000126,1.4E05,76.06633,319.0573,0.000126,0.140439,447
6669,8.258,56.21239,26.258,2.03097,1.23097,759.1975,27.07787,1.84032,6.25,0.449436,0.911356,0.449436,0.000551,0.000551,72.13038,1056.488,0.000719,0.449436,443
6688,8.217,55.80552,26.055,2.01137,1.21795,752.2713,28.47518,1.8254,6.23,0.468239,1.380058,0.518208,0.000906,0.000745,117.9944,1089.549,0.001033,0.465898,435
6707,8.329,56.43164,26.329,2.02813,1.22671,759.051,30.57846,1.84387,6.32,0.478759,1.379224,0.478759,0.000605,0.000711,71.45343,1129.25,0.000811,0.478759,430
6726,8.36,56.527,26.36,2.026,1.224,758.98,32.106,1.845,6.3,0.4 884,1.5533,0.4 884,0.0006,0.0007,71.144,1153.3,0.0008,0.4 884,425
6745,8.283,55.88476,26.049,1.99929,1.20711,749.0192,33.24869,1.82298,6.30,0.505006,2.217113,0.609444,0.001319,0.001061,166.7668,1166.002,0.001432,0.500074,427
6764,8.427,56.73426,26.427,2.02421,1.22083,758.8487,35.41025,1.84877,6.42,0.502671,1.867083,0.502671,0.000653,0.000873,70.44848,1189.422,0.000896,0.502671,431
6783,8.458,56.82999,26.458,2.02297,1.21897,758.7847,36.93867,1.85032,6.45,0.506236,1.983272,0.506236,0.000662,0.00091,70.11355,1198.735,0.000913,0.506236,436
6802,8.417,56.42312,26.255,2.00337,1.20595,751.8585,38.33598,1.8354,6.43,0.511498,2.330737,0.56205,0.000993,0.001054,115.8475,1198.309,0.001196,0.509092,432
6821,8.529,57.04924,26.529,2.02013,1.21471,758.6382,40.43926,1.85387,6.52,0.507159,2.180325,0.507159,0.000671,0.000968,69.3156,1202.46,0.000933,0.507159,436
6840,8.56,57.144,26.56,2.018,1.212,758.57,41.967,1.855,6.5,0.5 044,2.2362,0.5 044,0.0006,0.0009,68.953,1196.4,0.0009,0.5 044,438
6859,8.483,56.50236,26.249,1.99129,1.19511,748.6064,43.10949,1.83298,6.509,0.508214,2.791388,0.613869,0.001339,0.001222,164.3836,1176.761,0.001497,0.503147,436
6878,8.595,57.12848,26.523,2.00805,1.20387,755.386,45.21277,1.85145,6.60,0.491479,2.337692,0.501593,0.000719,0.001008,77.24483,1163.588,0.000972,0.490993,435
6897,8.658,57.44759,26.658,2.01497,1.20697,758.3719,46.79947,1.86032,6.65,0.483036,2.292329,0.483036,0.000646,0.000981,67.75591,1146.511,0.000906,0.483036,442
6916,8.617,57.04072,26.455,1.99537,1.19395,751.4457,48.19678,1.8454,6.63,0.474037,2.511691,0.525172,0.000951,0.001072,113.3567,1110.848,0.001157,0.471566,442
6935,8.729,57.66684,26.729,2.01213,1.20271,758.2254,50.30006,1.86387,6.72,0.455559,2.218567,0.455559,0.000609,0.000937,66.83697,1081.198,0.000856,0.455559,440
6954,8.724,57.52684,26.652,2.00289,1.19613,755.1198,51.57299,1.8579,6.73,0.441391,2.203869,0.45158,0.000652,0.000928,75.56205,1044.456,0.000881,0.440897,439
6973,8.683,57.11996,26.449,1.98329,1.18311,748.1936,52.97029,1.84298,6.70,0.430383,2.592887,0.537254,0.001229,0.001092,161.6552,990.5223,0.00136,0.42518,435
6992,8.827,57.96946,26.827,2.00821,1.19683,758.0231,55.13185,1.86877,6.82,0.401071,1.958823,0.401071,0.000532,0.000817,65.49803,950.7889,0.000745,0.401071,430
7011,8.858,58.06519,26.858,2.00697,1.19497,757.9591,56.66027,1.87032,6.85,0.379836,1.838526,0.379836,0.000501,0.000764,65.05745,899.8158,0.0 007,0.379836,433
